chem,cas,cat,mean,median,perc_75,perc_95,perc_99,sample_size,year,frac_nd
Perfluorooctanoic acid (ng/mL),335-67-1,Race/eth: Non-hispanic black,1.39022330353329,1.27,1.77,3.37,5.37,430,2017-2018,0.00570243649559357
Perfluorooctanoic acid (ng/mL),335-67-1,Race/eth: Non-hispanic white,1.54365351770237,1.57,2.27,3.77,8.3,667,2017-2018,0.00570243649559357
Perfluorooctanoic acid (ng/mL),335-67-1,Race/eth: Other,1.18611952222693,1.27,2.07,5.5,14.87,359,2017-2018,0.00570243649559357
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Gender: female,,,,,,1209,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Gender: male,,,,,,1119,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Income: Missing,,,,,,177,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Income: PIR above 2,,,,,,1142,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Income: PIR below 2,,,,,,1009,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Race/eth: Hispanic,,,,,,611,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Race/eth: Non-hispanic black,,,,,,476,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Race/eth: Non-hispanic white,,,,,,908,2013-2014,0.998711340206185
Urinary Branched isomers of perfluorooctanoate (ng/mL),335-67-1,Race/eth: Other,,,,,,333,2013-2014,0.998711340206185
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Gender: female,2.76740339033123,2.9,5.5,15,26.6,1399,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Gender: male,3.23082139202732,3.4,6.4,17.9,44.6,1363,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Income: Missing,3.48494669963082,3.8,7,18.5,45.7,1264,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Income: PIR above 2,3.05861955417675,3.1,5.8,22.8,31.5,337,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Income: PIR below 2,2.71557983358585,2.7,5.4,14.7,30.9,1161,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Hispanic,3.76114083935883,3.5,6.4,17.6,43,663,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic black,2.76106928262898,4.3,7.9,18.9,37.9,645,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic white,2.81606031330937,2.9,5.5,15.6,27.8,906,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Other,3.25355340881404,3,5.6,16.7,52.9,548,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Gender: female,2.76740339033123,2.9,5.5,15,26.6,1399,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Gender: male,3.23082139202732,3.4,6.4,17.9,44.6,1363,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Income: Missing,3.48494669963082,3.8,7,18.5,45.7,1264,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Income: PIR above 2,3.05861955417675,3.1,5.8,22.8,31.5,337,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Income: PIR below 2,2.71557983358585,2.7,5.4,14.7,30.9,1161,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Hispanic,3.76114083935883,3.5,6.4,17.6,43,663,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic black,2.76106928262898,4.3,7.9,18.9,37.9,645,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic white,2.81606031330937,2.9,5.5,15.6,27.8,906,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),117-81-7,Race/eth: Other,3.25355340881404,3,5.6,16.7,52.9,548,2017-2018,0.00832729905865315
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Gender: female,4.13072941298384,4.4,8.2,22,41.3,1399,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Gender: male,5.06512307716735,5.2,10.6,26.7,61.1,1363,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Income: Missing,5.25938823019672,5.6,11,25.9,67.7,1264,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Income: PIR above 2,4.63114570537072,4.9,8.5,25.6,48.7,337,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Income: PIR below 2,4.19127341635723,4.4,8.2,21.9,49.9,1161,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Race/eth: Hispanic,6.00977166457668,5.1,9.8,24.4,66.7,663,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic black,4.23163661792713,6.5,12.2,29.5,59.2,645,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic white,4.30235755986902,4.5,8.4,23.9,41.3,906,2017-2018,0.00977552498189718
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),117-81-7,Race/eth: Other,4.83586749814929,4.2,7.9,25.8,87.7,548,2017-2018,0.00977552498189718
Crotonaldehyde (ng/mL),4170-30-3,Gender: female,,,0.159,0.334,0.549,889,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Gender: male,,,0.164,0.359,0.717,844,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Income: Missing,,,0.185,0.318,0.378,112,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Income: PIR above 2,,,0.172,0.359,0.668,809,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Income: PIR below 2,,,0.151,0.332,0.549,812,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Race/eth: Hispanic,,,0.181,0.485,1.08,444,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Race/eth: Non-hispanic black,,,0.177,0.337,0.481,299,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Race/eth: Non-hispanic white,,,0.151,0.302,0.548,750,2013-2014,0.664166185804962
Crotonaldehyde (ng/mL),4170-30-3,Race/eth: Other,,,0.172,0.412,0.61,240,2013-2014,0.664166185804962
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Gender: female,,,1.6,4.2,11,1399,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Gender: male,,0.9,1.8,5.7,16,1363,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Income: Missing,,1,1.9,5.2,11.6,1264,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Income: PIR above 2,,0.8,2,7.2,12.3,337,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Income: PIR below 2,,,1.4,4.5,13,1161,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Race/eth: Hispanic,,1,2.1,6.5,11.8,663,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic black,,1.3,2.5,6.6,14.2,645,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Race/eth: Non-hispanic white,,,1.4,4.2,13,906,2017-2018,0.437726285300507
Di(2-ethylhexyl) phthalate metabolite: Mono-(2-ethylhexyl) phthalate (ng/mL),117-81-7,Race/eth: Other,,1,2,5.9,13.4,548,2017-2018,0.437726285300507
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Gender: female,,,1.02,2.88,6.34,1516,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Gender: male,,0.65,1.23,3.25,7.45,1499,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Income: Missing,,0.627,0.965,3.1,4.36,311,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Income: PIR above 2,,,1.18,2.9,7.51,1433,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Income: PIR below 2,,,1.13,3.19,7.45,1271,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Race/eth: Hispanic,,0.604,1.18,3.8,8.52,970,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Race/eth: Non-hispanic black,,0.616,1.21,2.54,4.79,656,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Race/eth: Non-hispanic white,,,1.09,3.04,4.98,912,2015-2016,0.527031509121061
Benzene metabolite: N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),71-43-2,Race/eth: Other,,,1.03,3.4,6.36,477,2015-2016,0.527031509121061
Formaldehyde (nmol/g Hb),50-00-0,Gender: female,127.720427590279,130,139,155,169,1206,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Gender: male,127.940290649307,129,138,155,166,1166,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Income: Missing,128.370457462257,130,137,154,160,235,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Income: PIR above 2,125.776419684704,127,138,155,178,1094,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Income: PIR below 2,128.891458038948,130,139,156,166,1043,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Race/eth: Hispanic,129.204036973329,129,139,159,190,784,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Race/eth: Non-hispanic black,120.702737675963,127,136,153,164,471,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Race/eth: Non-hispanic white,128.259295682321,130,139,155,166,747,2015-2016,0
Formaldehyde (nmol/g Hb),50-00-0,Race/eth: Other,126.444274404425,128,136,152,165,370,2015-2016,0
"p,p'-DDT (ng/g)",50-29-3,Gender: female,,,,0.1464,0.4168,1006,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Gender: male,,,,0.1083,0.6113,959,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Income: Missing,,,0.0344,0.1433,2.1493,105,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Income: PIR above 2,,,,0.1667,1.682,937,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Income: PIR below 2,,,,0.1019,0.3443,923,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Race/eth: Hispanic,,,0.0607,0.2405,2.4563,526,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Race/eth: Non-hispanic black,,,0.0475,0.2013,0.8768,479,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Race/eth: Non-hispanic white,,,,0.0845,0.215,881,2003-2004,0.753180661577608
"p,p'-DDT (ng/g)",50-29-3,Race/eth: Other,,,0.0686,0.3871,4.6345,79,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Gender: female,,,,21,73.4,1006,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Gender: male,,,,15.2,92.5,959,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Income: Missing,,,8.5,21.6,348,105,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Income: PIR above 2,,,,26.7,274,937,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Income: PIR below 2,,,,15.8,56.6,923,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Race/eth: Hispanic,,,9.2,35.5,396,526,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Race/eth: Non-hispanic black,,,9,31.5,154,479,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Race/eth: Non-hispanic white,,,,12.9,38.5,881,2003-2004,0.753180661577608
"p,p'-DDT Lipid Adj (ng/g)",50-29-3,Race/eth: Other,,,14.1,71.4,575,79,2003-2004,0.753180661577608
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Gender: female,79.2977219937643,79.3,150,435,764,1516,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Gender: male,105.134050755104,108,192,515,929,1499,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Income: Missing,97.6324409746023,99.9,189,590,1070,311,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Income: PIR above 2,97.7802813919439,101,190,489,1050,1433,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Income: PIR below 2,86.5307023640453,90.8,159,451,764,1271,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Race/eth: Hispanic,87.293415409042,90.6,158,349,572,970,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Race/eth: Non-hispanic black,148.098362017693,145,260,675,1200,656,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Race/eth: Non-hispanic white,83.6195876742826,90.7,167,473,794,912,2015-2016,0.00398009950248756
Acrolein metabolite: N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),107-02-8,Race/eth: Other,76.3828727422305,80.8,149,308,640,477,2015-2016,0.00398009950248756
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Gender: female,,,,,,1232,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Gender: male,,,,,,1238,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Income: Missing,,,,,,180,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Income: PIR above 2,,,,,,1178,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Income: PIR below 2,,,,,,1112,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Race/eth: Hispanic,,,,,,678,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Race/eth: Non-hispanic black,,,,,,522,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Race/eth: Non-hispanic white,,,,,,888,2013-2014,0.995951417004049
N-Nitrosodiethylamine (NDEA) (ng/L),55-18-5,Race/eth: Other,,,,,,382,2013-2014,0.995951417004049
Blood Carbon Tetrachloride (ng/mL),56-23-5,Gender: female,,,,,,1467,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Gender: male,,,,,,1378,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Income: Missing,,,,,,1189,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Income: PIR above 2,,,,,,376,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Income: PIR below 2,,,,,,1280,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Race/eth: Hispanic,,,,,,675,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Race/eth: Non-hispanic black,,,,,,630,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Race/eth: Non-hispanic white,,,,,,972,2017-2018,0.998945518453427
Blood Carbon Tetrachloride (ng/mL),56-23-5,Race/eth: Other,,,,,,568,2017-2018,0.998945518453427
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Gender: female,,,,84.4,132.5,951,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Gender: male,,,38.8,78.9,137.3,920,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Income: Missing,,,40.6,85.9,123.2,90,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Income: PIR above 2,,,,84.1,157,911,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Income: PIR below 2,,,39.1,78.9,126.2,870,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Race/eth: Hispanic,,,,59.4,105.1,484,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Race/eth: Non-hispanic black,,,,97.4,173.2,443,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Race/eth: Non-hispanic white,,,41.6,84.4,132.5,859,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",57117-31-4,Race/eth: Other,,,,65.3,86.4,85,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Gender: female,,,,12.6,17.5,951,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Gender: male,,,7,12.2,20.2,920,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Income: Missing,,,6.8,13.2,15.6,90,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Income: PIR above 2,,,,12.7,20.9,911,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Income: PIR below 2,,,7,11.6,18.1,870,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Race/eth: Hispanic,,,,10,12.6,484,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Race/eth: Non-hispanic black,,,,15.9,26.8,443,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Race/eth: Non-hispanic white,,,7.2,12.8,18.1,859,2003-2004,0.767504008551577
"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",57117-31-4,Race/eth: Other,,,,10.4,16,85,2003-2004,0.767504008551577
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Gender: female,,89.9,179.8,558.6,1343.7,948,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Gender: male,,,145.1,359.9,890.6,912,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Income: Missing,,87.1,166.8,558.6,1593.4,90,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Income: PIR above 2,,,151.5,609.2,1612.2,905,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Income: PIR below 2,,90.1,158.1,369.6,908.3,865,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Race/eth: Hispanic,,93,151.6,326.3,1148.9,479,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Race/eth: Non-hispanic black,,,141.9,975.6,2977.3,441,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Race/eth: Non-hispanic white,,78.1,157.8,439.1,1086.1,855,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",57465-28-8,Race/eth: Other,,113.6,196,662.5,877.8,85,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Gender: female,,15.7,27.6,82.5,191,948,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Gender: male,,,21.8,51.5,132,912,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Income: Missing,,14.8,20.8,92.7,230,90,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Income: PIR above 2,,,24.5,84.4,191,905,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Income: PIR below 2,,15.4,25,60.4,120,865,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Race/eth: Hispanic,,15.5,25.2,46.7,123,479,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Race/eth: Non-hispanic black,,,23.5,142,550,441,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Race/eth: Non-hispanic white,,14.6,24.3,64.7,120,855,2003-2004,0.502150537634409
"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",57465-28-8,Race/eth: Other,,18.6,31.9,99.2,134,85,2003-2004,0.502150537634409
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Gender: female,,,,,,1008,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Gender: male,,,,,,952,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Income: Missing,,,,,,103,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Income: PIR above 2,,,,,,939,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Income: PIR below 2,,,,,,918,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Race/eth: Hispanic,,,,,,526,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Race/eth: Non-hispanic black,,,,,,479,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Race/eth: Non-hispanic white,,,,,,875,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane (ng/g),58-89-9,Race/eth: Other,,,,,,80,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Gender: female,,,,,,1008,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Gender: male,,,,,,952,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Income: Missing,,,,,,103,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Income: PIR above 2,,,,,,939,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Income: PIR below 2,,,,,,918,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Race/eth: Hispanic,,,,,,526,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Race/eth: Non-hispanic black,,,,,,479,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Race/eth: Non-hispanic white,,,,,,875,2003-2004,0.995918367346939
Gamma-hexachlorocyclohexane Lipid Adj (ng/g),58-89-9,Race/eth: Other,,,,,,80,2003-2004,0.995918367346939
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Gender: female,,,,8.34,16.5,1205,2013-2014,0.948406040268456
N-Nitrosomorpholine (NMOR) (ng/L),59-89-2,Gender: male,,,,,18.6,1179,2013-2014,0.948406040268456
